书本名字,作者,状态,类型,点击,字数,收藏数
相爷的厨娘小娇妻,叶子拾柒,完结,古代言情,29701,120854,16
楚少，夫人带球跑路啦！,vi小安,连载,民国情缘,29498,138696,26
戒不掉的温柔,笙宝,完结,都市爱情,29386,44741,29
余生，请多指教,非也大人,完结,都市爱情,30854,298590,229
宝贝计划，妈咪给我租爹地,宇宙极光,完结,都市爱情,30824,218552,9
神迹,爱玛·多诺霍,完结,外国文学,30707,141512,68
通往三号房的路,萧半纯,连载,都市爱情,30674,148036,0
我可以踩在你的AJ上吗,莫离,完结,校园甜宠,30607,278047,116
报告傅总，影后她重生了,多肉,完结,都市爱情,30486,1018725,103
醉欢浓,姝月,完结,古代言情,30367,73457,51
久爱成疾，顾少别来无恙,沐风,完结,总裁豪门,30285,385311,19
被遗落在时光深处的他,长乐未央,完结,都市爱情,30246,1286243,41
弥弥罗生录,厌阙,完结,玄幻言情,30228,75055,16
总裁无良，小妻要上房,葫芦小小包,完结,都市甜宠,31716,1058297,28
寂静的春天,蕾切尔·卡森,完结,外国文学,31627,141368,10
男主是个傻白甜,萧半纯,连载,悬疑推理,31543,138957,0
回梦遥安,一朵花一壶酒,完结,时空穿越,31287,275910,40
亲爱的乌贼先生,千奇,完结,都市甜宠,31270,220862,115
风过鸣涯闻岚音,六千灯夜,完结,古代言情,31249,340010,42
我被爱情碰瓷了,万万和鱼鱼,完结,推理破案,31189,77626,7
男神管理学,橘猫,连载,青春校园,31040,96101,144
农门宠妻，腹黑将军来种田,万七月,完结,种田经商,31009,382141,8
诱妻成瘾，季少你真香了,Hygge,完结,民国情缘,30914,596939,19
事后清晨,这个杀手不太瘦,连载,都市爱情,32583,13743,1
假如赫尔辛基失去雪,Cloudy多多,完结,都市爱情,32511,240869,59
那年一起同过窗,香香公主,连载,青春校园,32481,30280,84
上仙，你妹子掉了,以梦为眸,完结,仙侠神话,32465,102135,22
快穿之隐藏BOSS太凶,牧姑娘吖,完结,奇幻空间,32430,773842,41
桃之夭夭灼灼其华,伍月,连载,重生异能,32394,121629,1
沙乡年鉴,奥尔多·利奥波德,完结,外国文学,32064,146613,7
快穿之这剧本不对,仙芋青稞,完结,奇幻空间,31908,210596,30
后来，南风过境,允凡,完结,都市爱情,31860,311428,57
隐婚蜜爱：季少宠妻好嚣张,暖央,完结,总裁豪门,31751,617078,152
我可能是个假公主,道听途说,连载,古代言情,33317,63819,32
无差别黑猫,一包咸鱼,完结,都市爱情,33218,124790,19
快带走我的第二人格,五岁很爱笑,完结,玄幻言情,33200,295863,27
皇帝，你绿了,七柚,完结,时空穿越,33171,291427,46
没事别随便思考人生,鬼脚七,完结,励志人生,33165,125049,20
玲珑骰子安红豆,花未眠,完结,古代言情,33031,195236,29
坐等男主死,Dawn,完结,都市爱情,32979,137615,40
养个魔女去搞事,白米虫,完结,仙侠神话,32857,159768,81
他来时风很甜,安溪,完结,总裁豪门,32600,812409,73
余生漫长,顾南惜,完结,都市爱情,32599,31070,11
三千弱水,墙外一只桃,连载,古代言情,34575,3579,3
伪病娇的戏精守护者,唐僧,完结,青春校园,34570,327504,90
皎皎白月光,不知,完结,古代言情,34566,80650,18
愿你被这世界温柔相待,叶萱,完结,励志人生,34513,90479,36
春天对樱桃树做的事,阿郎,完结,励志人生,34427,200187,23
彼时花胜雪,九歌,完结,古代言情,34389,127231,47
电竞大神有点甜,云星,完结,都市爱情,34358,327446,48
美人何故点朱砂,大卌NA,完结,古代言情,34229,139033,55
肥妻逆袭，带着系统来种田,浅墨,完结,种田经商,33876,419370,19
金牌风控师,香香公主,完结,职场白领,33808,205554,44
反穿书之皇后她千娇百宠,小舟舟呀,完结,古代言情,37351,1125769,14
忆我旧韶华,拾月3,完结,青春校园,37306,157899,88
神棍，听我一卦！,盖盖,完结,玄幻言情,37302,200431,44
千机阁,慕挽风,完结,古代言情,37217,130327,33
不正常重生,水煮肉片,完结,玄幻言情,37156,371417,58
原来可以这么甜,亦戚,完结,青春校园,37097,375132,233
她听过那片海,琳琅不青,完结,都市爱情,37024,142711,97
云遮断归途,凤凰花开,完结,都市爱情,36780,931958,30
有个恋爱想和你谈一下,橘白,完结,职场白领,36508,371966,162
叶落心弦,九月梓,连载,青春校园,36192,46212,82
内心的力量：岁月悠长，你我与共（目光+人间告白+朋友请听好，套装共3册）,陶勇，李润,连载,励志人生,33808,208363,7
奈何风未语,林二一,连载,都市爱情,33788,90866,58
我有特殊的分裂技巧,楚怀夜,完结,青春校园,33748,118430,18
他似烈火骄阳,醉梦清歌,连载,都市爱情,33691,38327,32
知更鸟女孩3,（美）查克·温迪格,完结,外国文学,33673,168336,85
王爷万福，重生公主甜又野,晓晓,完结,宫斗宅斗,33652,776543,11
时代爱情,蛋壳,完结,都市爱情,33633,235912,55
他被遗落在春天,南无桑,完结,都市爱情,33518,140039,71
快穿之他有盛世美颜,情歌王子,完结,时空穿越,33334,233044,20
追凰,妃水水,完结,宫斗宅斗,33324,345386,58
暮然一笑春风起,风三飘,完结,都市甜宠,36123,306035,52
女配逆袭：我被系统坑死了,小酒馆,完结,时空穿越,36061,1182832,58
望秋,琳琅不青,完结,古代言情,35880,252996,25
为了报仇看电影,韩松落,完结,励志人生,35718,115151,5
缓慢窒息,樊安歌,连载,都市爱情,35689,156264,128
在追求梦想的路上，我们都一样,何亚娟,完结,励志人生,35656,111550,47
拐走萌夫,浪浪,完结,古代言情,35593,252790,34
他曾住在我心里,九子蔡,完结,都市爱情,35522,155210,48
不要等我,三七,连载,玄幻言情,35398,135568,4
小少爷和小胖妞,羅番,完结,都市爱情,35290,196640,47
迷宫森林,梅利莎·阿尔伯特,完结,悬疑推理,35275,161649,32
一品庶女,最可爱的花当,完结,宫斗宅斗,35114,729544,78
恋爱选我，我超有钱,花拉拉,完结,都市爱情,35074,261222,114
媚骨天成，病娇王爷不好追,爱吃西瓜,完结,古代言情,35039,412561,37
春江花月夜（全三册）,多多,完结,古代言情,34967,685169,40
锦绣田园，农门娇妻有点甜,晚晴,完结,种田经商,34834,1401194,9
你不努力，就别怪世界残酷,沈善书,完结,励志人生,34826,98549,36
蒋少，追妻套路了解一下,黑糖奶盖,完结,都市爱情,34790,665520,85
同学，你人设崩了,十辛,连载,青春校园,34774,803383,104
亲亲美人蛇,七柚,完结,仙侠神话,34723,388156,32
穿越末世之艰难任务,艾初雪,完结,末世洪荒,37855,44272,13
朝暮得佳时,十临,完结,都市爱情,37772,301402,53
桃药无双,果子久,完结,古代言情,37736,125465,23
你是棠，也似糖,南星,完结,都市爱情,37673,416613,67
金牌冤家,柚菠狸,完结,科幻未来,37550,631151,13
明星老婆有点甜,咕噜咕噜,完结,都市甜宠,37482,1734886,79
她比烟花冷,夏希尔,完结,都市爱情,37465,160786,30
江水为竭,沉生,完结,古代言情,37459,202710,33
亲吻你的厄运,万事大吉,连载,都市爱情,37390,194619,28
遥不可及的你,姜辜,完结,都市爱情,37355,120011,28
早安和你都想要,是超凶的小柒呀,完结,青春校园,40455,114392,31
倾世神女：仙尊的倾城妻,会飞的吉祥物,完结,仙侠神话,39735,95482,59
我爱魔君多娇媚,扉初,完结,仙侠神话,39734,200426,27
相女重生： 敌国陛下有点甜,燕拾安,完结,古代言情,39564,204668,40
您的明星男友请签收,季钰尧,完结,都市爱情,39468,285307,106
半是蜜糖半是伤,棋子,完结,都市爱情,39418,172716,307
大师兄，我们不约！,圆釉,完结,校园甜宠,39226,141309,39
宠妃晋升攻略,幻Y,完结,时空穿越,39178,521864,36
年少不知涩,夏末,完结,青春校园,39164,201366,40
两个她的奇幻之旅,菲德拉·帕特里克,完结,外国文学,39113,159324,37
恶意,赐今,完结,都市爱情,38973,153029,89
春迟,打伞的蘑菇,完结,都市爱情,38575,129014,11
38.6℃,喜粉,完结,都市爱情,38549,183470,32
今天NC粉告白了吗？,花未眠,完结,娱乐明星,38469,170739,77
特工王妃之歌锁迷城,八囍,完结,宫斗宅斗,38446,74249,26
长歌谣,阿梨,完结,古代言情,38330,377139,56
深情谋爱，顾少你动心了,炫小锡,完结,总裁豪门,38321,350556,48
微凉亦暖,郁婧,连载,都市爱情,38297,221027,1
白云无尽,狐狸组合·时里海,完结,,38217,127993,11
美神大人待机中,莫衷一是,完结,玄幻言情,38209,347939,21
天气预报说明天有你,孟瑞,完结,励志人生,41432,75827,101
萌妻来袭，陆总宝贝乖又甜,白又白,完结,都市爱情,41367,365090,50
故道又逢君,丰煜,完结,民国情缘,41264,121800,40
你在心口砰砰跳,Pluto林瑞,完结,青春校园,41073,274773,65
不存在的父亲,迈克尔·道布斯,完结,悬疑推理,41002,179648,30
再嫁名门：陆少的二婚娇妻,樱花落尽,完结,都市爱情,40971,514353,71
几许阳光恰似你,一语千城,完结,青春校园,40736,216540,187
他心中的白月光,炫小锡,完结,玄幻言情,40634,200712,34
我和反派相依为命,唐僧爱睡觉,完结,青春校园,40611,321349,45
腹黑萌宝，爹地求婚请排队,温若离,完结,都市爱情,40553,1045030,22
妈咪留步，爹地喊你要三胎,鱼子酱,完结,都市爱情,43203,540216,46
王者荣耀之有你的晴天,会游泳的猫,完结,游戏竞技,43196,181044,50
织云锦,又绵,完结,古代言情,43166,139521,186
酸奶味的糖,栖止,完结,校园甜宠,43113,233755,288
是谁为你送花来,安逸,完结,都市爱情,43100,219261,43
本宫田很多,念梦,完结,种田经商,42698,623349,33
四海为他,打伞的蘑菇,完结,都市爱情,42600,137199,25
雪里已见冬阳至,懒学,完结,青春校园,42568,341400,122
少女恋爱大作战,青丘山小花,完结,都市爱情,42439,261616,56
来世我还想爱你,你很皮,完结,都市爱情,42364,602359,36
危险关系,楚怀夜,完结,都市爱情,44248,267859,71
无棠,冰糖橙子,连载,都市爱情,44162,110573,1363
说你呐，往心里走一点,夏加尔,完结,都市爱情,43761,253408,65
变色龙与狗,柚菠狸,完结,都市爱情,43578,261847,12
青竹林下弦曾响,轩妖紫逸,完结,宫斗宅斗,43547,223885,36
南霜北竹,梦染南悠,完结,古代言情,43427,231168,102
写给爱情的九十九封情书,一口小甜饼,连载,都市爱情,43278,35170,92
拜托，陪我一起长大,扎扎,完结,青春校园,43268,200453,64
农门娇妻：拐个夫君来种田,南予,完结,种田经商,43231,697251,51
小公子,公子兮,完结,古代言情,43225,87165,37
缘深不知处,咏荞Hy,完结,职场白领,42146,335977,54
他比晚风更温柔,时光淼淼,完结,都市爱情,42138,141679,55
他的脑洞很甜,四夕丸子,完结,都市爱情,42091,253712,40
深宫怨,玛丽不苏,完结,宫斗宅斗,42059,39683,14
医见钟情：我将心向你,花辞,完结,都市甜宠,42026,251075,155
仙径之翻云覆雨,橙主162,连载,玄幻言情,41941,16983,15
今有佳人,子非云,完结,古代言情,41859,45512,49
神都一品女探,叶小狄,完结,宫斗宅斗,41779,199475,27
想你在时光之外,墨小芭,完结,都市爱情,41527,181615,87
年少遇你，余生可期,小老头,完结,青春校园,41516,283113,59
一枝红杏出墙来,芋头沉,完结,古代言情,45068,69185,37
督主在下,月酒酒,完结,宫斗宅斗,45026,237988,45
我和男神互换了身体,慕容宁音,完结,都市爱情,45003,210016,33
盛世医妃：宠妻不好惹,鹿祁,完结,古代言情,44992,600914,123
火药味的你,曳寻,完结,青春校园,44913,217701,207
换装,冉求,完结,都市爱情,44867,423637,59
云胡不喜,芙鸢贯青天,完结,游戏竞技,44576,216406,104
银霜阙,浮生若梦,完结,宫斗宅斗,44384,644199,17
初恋不打烊,鹿迁,完结,都市爱情,44381,343068,347
萌宝来袭：这个娘亲我要了,仲安歌,完结,玄幻言情,44380,604267,59
MissMiss,月半白,完结,民国情缘,46463,642529,49
温吞娘子,禾一,完结,古代言情,46189,102443,85
一见不钟情,希望,完结,青春校园,46142,77530,44
穿成首富未婚妻,酥酥苏,完结,都市爱情,46003,538586,52
桃之夭夭，灼灼其华,沐凝萱,完结,仙侠神话,45964,182957,129
灼心蜜恋,顾凌伽,连载,都市爱情,45858,195010,3
秀色可餐：农家悍妻有点田,疑思,完结,种田经商,45771,1313652,16
我与你隔着忆万光年的距离,芊林,完结,都市爱情,45431,136802,340
她朝我微笑,禾一,完结,职场白领,45240,278214,71
我来送你上头条,长大当太空人,完结,都市爱情,45229,344806,91
等你转身靠近我,弓心,完结,都市爱情,48851,111996,71
天降男友,咏荞Hy,完结,奇幻空间,48760,150723,19
蓝桉跑过少年时3,岑桑,完结,青春校园,48689,125575,44
求职公寓,香香公主,完结,职场白领,48597,190378,43
你是烈火与甜糖,榷湫,完结,青春校园,48574,249420,133
流年有爱，岁月静好,拾月3,完结,青春校园,48473,322114,37
穿越星河来爱你,苏果可可,完结,玄幻言情,48444,282742,78
直播现场，恋爱不打烊,锦小鲤,完结,职场白领,48393,234233,78
一川烟草,香九菱,完结,都市爱情,48370,178927,166
时光带不走心动,小狗的目标,完结,职场白领,48127,147199,201
鱼在水里唱着歌,鹿拾尔,完结,悬疑推理,47722,116496,13
橙汁多冰七分甜,未由之阙,完结,青春校园,47593,229899,185
入骨愁殇醉相思,清禾,完结,宫斗宅斗,47484,138310,62
刚好遇见你,墨江南,完结,,47385,166531,8
南风渡,轻舟,完结,玄幻言情,47183,304626,72
王爷，王妃又在虐渣了,叶子,完结,古代言情,47081,1028867,29
199号ET女友,扉初,完结,科幻未来,46859,210071,27
江山误美人,岚槿,完结,宫斗宅斗,46728,251328,83
明天你结不结婚,洪梅抒,连载,婚姻家庭,46717,160966,1
世界的轮廓,星炫沧海,完结,奇幻空间,46635,155132,22
天上掉下个美娇娘,禾一,完结,时空穿越,50653,256084,98
我的鬼神大人,锦袖华衣,连载,仙侠神话,50536,200291,194
我的男友有点甜,夜宵好好吃,完结,校园甜宠,50523,101099,80
侯府嫡女录,初笙,完结,古代言情,50481,233860,121
换脸,東米子,完结,都市爱情,50373,891569,23
妖女谋之倾尽天下,萤照公子,完结,宫斗宅斗,50210,1048911,21
天赐妖妃,七柚,完结,玄幻言情,49950,306427,38
秋风解意,星辰,完结,仙侠神话,49843,205527,55
许你暖意绵绵,白茶清欢,完结,都市爱情,49461,214581,139
画情,龙凌鸢,完结,古代言情,49216,221535,112
争夺张泊宁大作战,夜却透,连载,都市爱情,58,3927,0
为了钱张泊宁嫁了,张泊宁,连载,都市爱情,43,1182,0
林画宜,周温雪,连载,都市爱情,35,17044,0
她有病,了斋,连载,青春校园,28,1331,0
阿七解忧馆,戚恪,连载,青春校园,1,1997,0
韶华,白日梦患者,连载,青春校园,352,1049,1
金宠妻无上限,金张泊宁,连载,都市爱情,346,6221,5
青春恋爱复兴,狐言,连载,青春校园,344,20004,2
张泊宁与牧野由依的生死炼狱游戏,张泊宁凉,连载,游戏竞技,342,5188,6
在那个路口,eat,连载,青春校园,339,1046,0
别忘了来我的梦里,我就是小叶,连载,青春校园,331,2731,0
TA,橙味考拉,连载,婚姻家庭,321,1085,0
27℃暖风,舒楼,连载,青春校园,317,1016,0
掌上心蝶逆如花,慕容萋萋七,连载,玄幻言情,317,5841,0
蓄谋已久,@蓝予,连载,青春校园,316,1312,0
在同一个地方,上晴,连载,奇幻空间,127,2039,1
不只一点甜,木挽风,连载,都市爱情,126,2370,0
她把大佬当废品捡回来了,青灯,连载,都市爱情,122,1858,0
这个世界只有我自己,绿豆白芷,连载,励志人生,122,3666,0
我的三个女人都很拽,凤鸣岐山,连载,都市爱情,117,1966,0
亲爱的梨花小姐,吴小凤,连载,都市爱情,116,2294,0
同门,甜狮子,连载,都市爱情,105,21354,1
属于我们的夏天,山泊,连载,青春校园,99,1080,0
许你完满爱意,烹茶煮酒,连载,都市甜宠,87,20355,1
《川商传奇·罗裒传》,书点余生,连载,种田经商,68,6134,0
幻剑情侠奇缘,樱奈铃泽,连载,玄幻言情,413,1498,0
穿越维度杀死你,流浪的刺星,连载,仙侠神话,406,2355,0
慕凉川的情至深处,慕凉川,连载,都市爱情,400,5255,5
情至深处便是冷漠,金张泊宁,连载,都市爱情,398,5255,5
happy night,张泊宁凉,连载,奇幻空间,392,6734,5
护妻狂魔慕凉川,慕凉川,连载,都市爱情,381,5573,4
梦境直播夜却透,夜却透,连载,奇幻空间,381,5261,5
张泊宁的一亿个梦体,张泊宁,连载,科幻未来,380,5734,5
《初恋的滚烫节拍》,粉多木瓜,连载,青春校园,366,5726,0
张泊宁只敢在梦境里才敢说爱你,张泊宁,连载,时空穿越,366,6134,6
张泊宁的分身,张泊宁凉,连载,科幻未来,180,1101,6
傻兔子张泊宁,夜却透,连载,外国文学,178,1571,6
张泊宁的夜却透,夜却透,连载,都市爱情,175,1130,4
你似星辰灿烂,枝叶附着,连载,都市甜宠,167,27700,0
林深择陈,巴山夜雨时,连载,青春校园,152,2114,1
温暖的羊,守守,连载,青春校园,149,1930,0
诗录•幻,万岁爷,连载,科幻未来,143,4106,0
千里江山,ZWL,连载,古代言情,139,30310,1
喜欢不止一点点,陆宣清,连载,都市甜宠,138,6985,4
终是泪深不知处,欣茗,连载,都市爱情,135,2553,0
蝶迹,林栀笑,连载,玄幻言情,541,5225,0
请你吃甜筒呀,哇噻噻i,连载,青春校园,535,6266,0
白鸟小樱张泊宁之死,张泊宁,连载,科幻未来,535,9569,6
光芒和风浪皆是你,知南,连载,青春校园,529,1002,1
灯前笑,弧芹絮子,连载,古代言情,508,10330,0
情深森森何几许,金张泊宁,连载,古代言情,498,5099,3
恋爱无法终结于此,夜枳,连载,青春校园,495,1997,0
青柠初上,糖心,连载,青春校园,489,5874,0
穿成退婚男主的貌美女配,灵女,连载,穿书快穿,480,1966,0
张泊宁，爱成寂寞开成海,张泊宁,连载,都市爱情,479,6315,6
斯年将至,无花无酒,连载,都市爱情,477,131320,1
张泊宁与慕凉川的炼狱之爱,张泊宁,连载,奇幻空间,470,6457,5
张泊宁的折子戏,张泊宁,连载,古代言情,467,5726,6
傅少的小娇妻又美又飒,星河万里,连载,总裁豪门,466,1028,0
达达安慕凉川对张泊宁最后的爱,慕凉川,连载,科幻未来,452,5543,6
微风拂过你的脸,雪景儿,连载,都市爱情,437,1840,0
见梅,弧芹絮子,连载,古代言情,435,3705,0
紫荆花开,张泊宁凉,连载,古代言情,434,5622,5
九尾白狐修行记,慕凉川,连载,古代言情,424,5649,6
我在南城以南,苏千旋,连载,都市甜宠,416,6000,0
我打造了财运工作室,李神龙,连载,都市爱情,314,1713,0
只愿与你,沫桐,连载,青春校园,311,1682,0
慕南向北,潘真人,连载,青春校园,294,1998,0
锦瑟无端十五琴,金张泊宁,连载,古代言情,256,2795,2
《歆歆向榕》,李清,连载,青春校园,253,1993,1
青柠檬上,念之,连载,青春校园,253,7678,1
哥的淡定你不懂,少陵野老,连载,青春校园,228,2116,0
不急不徐,喝喝粥,连载,青春校园,208,5321,0
平普先生的幻想,追梦的星星,连载,励志人生,184,1351,0
李巧宜之家之女张泊宁,慕凉川,连载,都市爱情,181,1875,5
如果眼角能呢喃,墨痕,连载,青春校园,636,2348,0
白桦林,Stephy,连载,都市爱情,622,3188,0
后来的我,抹茶饺子,连载,青春校园,609,1081,0
栗元南院后,郢肆意,连载,青春校园,608,1995,1
世间有情,阿辞,连载,玄幻言情,603,1079,1
月亮不会奔谁而来,+1,连载,青春校园,602,1989,1
时间里的,初代,连载,都市爱情,586,44585,0
亲亲小玫瑰,风亭,连载,青春校园,569,11755,1
沉花枝,弧芹絮子,连载,古代言情,548,3390,0
一下子喜欢你,星野.,连载,青春校园,543,1025,0
零落成泥碾作尘，惟有香如故,可口可乐的故宫限量款JOY,连载,青春校园,774,1016,0
我的天菜老公,跳脚女巫,连载,都市爱情,773,1827,0
菜鸟之泪,程阳,连载,励志人生,772,4000,0
夏日吻,柚今,连载,青春校园,761,3259,0
我知道，你不知道,江暮云,连载,青春校园,760,3174,1
余生，请接招,晨曦夕,连载,青春校园,757,1010,0
等风归,雪景儿,连载,古代言情,748,1841,1
断袖王爷恶毒妃,叶落城毁,连载,古代言情,734,2000,0
路鱼,薄荷红叶,连载,娱乐明星,734,2869,0
妖精的同心圆,有才多金,连载,青春校园,729,5971,1
狼烟：将军莫负红嫁衣,尔否,连载,古代言情,723,1302,1
六页空白,匪我愆期,连载,青春校园,711,1050,0
安于天下，乐在江山,解棠,连载,古代言情,693,1766,0
破晓者,桥北,连载,悬疑推理,686,3957,0
高中女子幻想,一粒粟,连载,青春校园,667,19364,0
我还是，在靠近,柒柒向暖,连载,都市爱情,665,1101,1
是胡不是贺,迟书吻,连载,青春校园,665,1034,0
娇妻张泊宁别想逃,张泊宁,连载,都市爱情,659,13953,6
承你迷茫,叶厌,连载,青春校园,649,1206,1
余光有时,好柿花生,连载,都市爱情,636,6663,0
她风中来信,红豆沙,连载,青春校园,892,6326,3
似是非似,弥生,连载,古代言情,892,2691,0
便利贴女孩的七日,窝小获,连载,都市爱情,891,1051,0
向阳盛开才是我们,XCY,连载,青春校园,887,1009,9
捡到颗星星,柒拾壹,连载,青春校园,874,1416,1
从未迟到的欢喜,甜加盐,连载,都市甜宠,868,6706,0
离辞,北路,连载,都市爱情,868,1655,9
鱼儿奋斗录,杜酒酒,连载,玄幻言情,857,1937,2
莫名和墙头锁了,乐晏,连载,娱乐明星,851,3247,1
《谁偷走了玫瑰》,容策,连载,科幻未来,846,5888,0
黑山羊波纳奇,（印）佩鲁马·穆鲁根,连载,外国文学,817,67343,1
命中注定就是你,等帆来,连载,青春校园,816,2108,0
红颜谋,曙曙,连载,古代言情,815,5859,0
重遇简奥斯汀,（英）简·奥斯汀,连载,外国文学,810,226715,0
程诺向我许愿,桁夏,连载,都市爱情,805,3783,0
少年爱上大龄小姐姐,盛世美颜,连载,青春校园,804,1950,1
你的灵魂有点飘,鸡腿好咸,连载,都市甜宠,799,1753,0
逢南,李奋斗✔,连载,都市爱情,791,1473,0
红色护身符,肖小冃,连载,青春校园,789,1909,0
花魂劫,艾嘉辰,连载,古代言情,775,16204,0
神君讨子记,世安言凉,连载,仙侠神话,925,1096,1
起落有你,宁倩,连载,都市爱情,924,15152,0
九年义务教育的漏网之鱼,伪子君,连载,励志人生,916,8561,1
可以接受我吗,愿乐,连载,都市爱情,915,4227,0
今夜你我皆星辰,陌上渔舟,连载,都市爱情,907,7817,1
百鬼夜行,夜沉见星,连载,玄幻言情,906,1020,1
预见花开,茟清,连载,都市爱情,904,1053,0
归途,段子奇,连载,仙侠神话,901,2970,0
心坟,俞雅凡,连载,都市爱情,896,3845,3
仙气复苏：首充一亿送条狗,A莫离,连载,重生异能,894,1423,0
我想牵着你的手，走过岁月漫长,柒月小葵,连载,青春校园,843,3998,1
后悔药店,予川向北,连载,玄幻言情,843,1279,1
一秒的爱情日记,萤晞,连载,都市爱情,835,1267,0
忆夏,茜酱,连载,青春校园,826,1069,0
那年树上的男孩,苓姈柒,连载,青春校园,826,2106,0
草莽,小文小小杰,连载,都市爱情,824,44701,1
恋爱似甜心,香蕉芝麻糊,连载,青春校园,823,1378,0
念你风云间,讲栖,连载,游戏竞技,823,2141,1
后来，花落了,九祭,连载,青春校园,821,1551,6
忘愿瓶中的恒星,某憨,连载,青春校园,821,1055,0
噩梦引路人,似茶酱吖,连载,悬疑推理,951,3432,0
念＋瑶=离,南十字,连载,青春校园,948,1014,1
对“蓝色”的执着,绿藻头,连载,青春校园,946,2295,1
偷亲一口属于你的甜,猫面,连载,都市甜宠,946,1612,1
岁月是你的忧伤,木九日,连载,青春校园,940,5195,1
阴阳之令,鼠小编,连载,古代言情,937,3059,0
看向你时满眼星辰,羽璐,连载,都市爱情,935,3525,1
雪溪待渡,桑小文,连载,科幻未来,929,1775,1
玖月,绾七七,连载,玄幻言情,927,1273,2
亲爱的王苏珊,韩慕瞻,连载,青春校园,927,1628,1
象柏之诗,通元一,连载,青春校园,977,8292,1
请原谅我不能成为伟大的人,说戏的栗子,连载,校园甜宠,976,1012,0
问仙求佛,默然,连载,玄幻言情,973,4713,1
《怀才不遇》,lykkk,连载,都市爱情,966,1830,0
喜欢的理由是你,你是不冻港,连载,都市爱情,965,7405,0
你好，再遇见,我欲为空,连载,青春校园,960,5839,1
班长不是学霸,火西西,连载,青春校园,960,1992,0
嬴姒今天闲鱼了吗,妘姬,连载,时空穿越,960,1652,1
何以栖迟,野歌千堆雪,连载,青春校园,959,1018,0
公开隐私,有氧泡泡,连载,都市爱情,954,2059,1
我们的那些事儿,火西西,连载,青春校园,1019,1476,1
共赴河山,鹤莯,连载,民国情缘,1010,1563,1
偏差值,落星,连载,娱乐明星,1006,1188,1
山水又相逢,宋酿,连载,都市爱情,1001,2972,0
九天仙魔逆,夜子美,连载,仙侠神话,1001,1932,0
《寸光轨迹》,三月月,连载,都市甜宠,993,5717,0
你困住我 年深月久,阿魚,连载,青春校园,990,5310,2
甜如蜜vs酷又拽,千朝醉,连载,青春校园,990,1268,1
皎月须墨染,千片生姜,连载,古代言情,989,3634,0
有个人，在等你,第九片海,连载,都市爱情,985,1289,0
以你为名的韶华,东衡,连载,都市爱情,1075,1302,1
胖胖的，可爱的,云涛,连载,青春校园,1071,4700,1
虚空爱情,凌稚,连载,校园甜宠,1066,1715,0
从日出上飞过,lykkk,连载,青春校园,1050,1859,1
晚晚喜欢你,陈念夏,连载,校园甜宠,1050,13777,1
草莓殿下快跑,蛋奶waffle,连载,都市甜宠,1046,1019,3
青梅竹马十年之约,蓝星,连载,青春校园,1027,1026,2
我与你的小小事,请爱林饱饱,连载,都市爱情,1026,2970,1
蒲少的小野猫,汤不喝,连载,青春校园,1026,4018,0
晴霜暮雪,浅雪盈香,连载,仙侠神话,1025,1992,0
作精皇后和她的马甲精白月光,滞月杪秋,连载,古代言情,1121,11672,0
我思故你在,不辞遥,连载,青春校园,1118,5280,1
一世长安,碧海,连载,都市爱情,1117,1512,0
星光照进玻璃窗,吾悦,连载,青春校园,1116,1499,0
空船载月,半夏,连载,都市爱情,1116,1997,0
半展红,橘子脆桃,连载,青春校园,1115,5746,0
猫仙,如沐春风,连载,玄幻言情,1114,1385,0
初,晟一珂,连载,青春校园,1112,1869,0
向阴亦开花,后愈,连载,都市爱情,1106,1846,0
染笑,尤野夜,连载,青春校园,1102,1004,0
当九零遇上三十,欧阳瑜,连载,青春校园,1098,10221,0
快穿之那些年我养过的小姐姐,是小李吖,连载,时空穿越,1098,2155,0
戚秋予清,欧里亚,连载,青春校园,1093,10544,1
無妳,叙肆,连载,青春校园,1090,1350,0
偷偷甜进你心里,苏杭,连载,娱乐明星,1090,27334,0
他比时光更悠久,子木,连载,青春校园,1081,3063,1
逆袭女郎,左左,连载,婚姻家庭,1081,3579,0
看到你以后,易泽嘉,连载,都市爱情,1080,1957,0
恩荣,春山,连载,古代言情,1076,5724,1
地球之子,不腐,连载,科幻未来,1076,7824,1
张泊宁，下手轻一点,张泊宁,连载,都市爱情,1171,13595,6
忆往昔,伶依,连载,古代言情,1170,1418,1
爱屋及乌,裙烟,连载,青春校园,1164,1018,1
惊昵,什野,连载,悬疑推理,1157,1000,1
南辕爱北辙,梧莳柒,连载,青春校园,1151,8187,0
又见一元,胡里安安,连载,青春校园,1149,1278,0
你站在太阳下,孤舟,连载,青春校园,1145,2797,1
风尘而过,鲸落,连载,青春校园,1141,13917,1
追忆高中生活,微笑的蛋,连载,青春校园,1133,2336,0
草莓味的堇色安年,乔木星言,连载,青春校园,1126,1902,2
错过了四月的你,鲁安若,连载,青春校园,1202,2755,0
初夏时见你,手可摘星辰,连载,青春校园,1198,5616,2
秋思,百态愁离,连载,时空穿越,1195,7232,0
为什么不喜欢,姜枕,连载,都市爱情,1191,7338,1
上有扶桑,十安魇凉,连载,仙侠神话,1187,3126,1
毒妃当道,柒墨,连载,古代言情,1186,1909,1
一只迷鹿,向迷鹿,连载,励志人生,1184,2546,1
比喻皆是你,恬赜,连载,校园甜宠,1179,10851,1
潋恋娇阳,季小火,连载,青春校园,1173,6538,0
