书本名字,作者,状态,类型,点击,字数,收藏数
秦俑两千年,爱德华 · 伯曼,完结,外国文学,11487,175113,5
遇仙集,徒离忧,连载,玄幻言情,10532,32929,1
星动不止一点点,巨蟹座,完结,青春校园,10485,235672,30
可乐不加冰,GG,连载,青春校园,10424,15145,8
本·纪年,木子丫,连载,青春校园,10394,68582,14
我在古代上体校,扉初,连载,青春校园,10270,13294,12
再见 北上广深,谁家帅哥,连载,职场白领,10258,18233,0
他的小酥糖,陆鸠,连载,青春校园,10235,12367,9
公子，一起要饭吧,飞翔的泥鳅,连载,古代言情,10183,13172,19
沙雕直女的青春手帐,青筱,连载,青春校园,10178,26455,1
青春结,心镜,连载,青春校园,10175,12132,29
缘不知何起,乐渝,完结,时空穿越,12277,291537,4
河山依旧,若遇,连载,,12166,20115,5
地狱典当铺,鳌野樵夫,连载,玄幻言情,12163,39623,1
半寸农庄,盛林,完结,励志人生,12160,134548,9
朝朝暮楚,姜佑汐,连载,都市爱情,12137,133981,15
孤人不孤,我思故人,完结,古代言情,12099,210232,2
恋到最初是白头,青酒,连载,青春校园,12093,34612,11
同你长眠于此,问候家明,连载,玄幻言情,12091,19892,12
木都纪,一尾鱼,连载,玄幻言情,12022,29610,1
靳爷，你老婆又跑了！,灵·陌,连载,总裁豪门,11934,30135,1
我相信缘分相信你,南栀北橙,连载,都市爱情,10974,36000,1
念你朝与暮,桐叶落三千,连载,青春校园,10967,31983,56
公子帐中行,七爷,完结,玄幻言情,10912,238249,8
浮世清欢，岁月安好,慕容素衣,连载,励志人生,10882,123197,7
自有南风入梦来,舒景夜,连载,,10875,1879,0
见山是山见水是水，见你是全世界,大柠,完结,都市爱情,10865,71742,23
春庭雪,明欢不欢,连载,古代言情,10842,6826,1
毒妻涅槃，靳帝老婆A爆天,一来二去,连载,都市爱情,10781,27434,3
喜欢你是秘密,宋知寒,连载,青春校园,10732,13399,3
协议撒糖三十天,仙女桥,连载,都市爱情,10672,8857,12
风中的柳絮飘,苏子离陌,完结,都市爱情,12869,223101,68
高考进行时,笔沫丹华,连载,青春校园,12866,58738,0
野花盛放荆棘林,凌翎,连载,青春校园,12769,88441,1
美好的旅程,树某懒,连载,励志人生,12722,48126,5
在裂缝中寻找微光,牛皮明明,完结,励志人生,12716,90010,4
骄阳似火,倾莹,连载,青春校园,12685,16201,5
桑枝记,未由之阙,连载,古代言情,12664,30875,16
总裁老公超甜的,席久久,完结,都市爱情,12648,233712,7
整容之后我成了校花,犄角儿,连载,青春校园,12485,25680,33
胡蝶飞过仓海,香九菱,连载,都市爱情,12327,40662,3
想你在风起时,八十二月,完结,都市甜宠,11469,74253,18
爱定你了温暖王子,不哭的小猫,连载,青春校园,11399,28173,1
漫画里的秘密,落落雨,连载,青春校园,11312,330430,6
他是熠熠生辉的星辰,林姜殊,连载,都市爱情,11305,13182,1
光年之外的爱恋,香九菱,连载,科幻未来,11278,29060,3
而你在身边,鸡蛋羹,连载,青春校园,11270,17057,15
开心坏了,珍妮·罗森,完结,外国文学,11212,181719,13
那个精神病想娶我,查写写,完结,都市爱情,11106,218773,68
有风吹过的梦,营还是营,连载,都市爱情,11094,43907,3
以爱你的名义,小老头,完结,都市爱情,11035,56788,12
你是人间理想,大柠,连载,都市爱情,13436,135751,20
你是我的一口甜,曦曦去偷猪了,连载,都市爱情,13307,6641,0
我们无法再享有天真和浅薄,半岛璞,完结,励志人生,13263,110698,8
有一天我会回来,查写写,完结,奇幻空间,13214,214349,110
想恋你啊,棹鸟,连载,青春校园,13174,6281,0
蜀山奇侠传,忘忧草,连载,仙侠神话,13158,53138,0
执子之手，白头偕老,被忘记的猫,连载,都市爱情,13104,25186,23
只羡鸳鸯不羡仙,东海仙人,连载,仙侠神话,13046,99345,0
冥界奇案簿·暗夜花开,鹿之宠爱,连载,玄幻言情,13043,29156,3
这个暑假回到16岁,君兰喵,完结,都市爱情,13038,120604,2
浮生辞,一只小白出墙来,连载,古代言情,13848,17034,0
那些时光里的我们,宋安晚,完结,青春校园,13823,328555,32
爱的酸甜苦辣,伍月,连载,都市爱情,13822,97527,1
恁时相见早留心,折枝玫瑰,连载,都市甜宠,13663,55854,4
你好，糟糕小姐,伍月,连载,都市爱情,13653,75565,1
农家医女：拐个夫君赚点钱,木子雪烟,完结,时空穿越,13589,122441,36
半步莲,四海升平,连载,古代言情,13588,18817,25
换一种爱情吧,伍月,连载,都市爱情,13534,50007,1
玉树后庭花,瑾年微末,连载,古代言情,13492,1677,0
蜜谋已久，叶总娇妻不太乖,蜜桃雪山,连载,都市爱情,13449,37195,4
偏偏喜欢你,桃之夭夭,连载,都市爱情,14443,16398,98
你是我的小甜甜,车厘子,连载,青春校园,14429,17982,9
江少，你家夫人有点野,芥末海苔,连载,都市爱情,14364,80420,1
浮梦三世,玖漓,完结,古代言情,14354,231244,46
《惊艳》,XCY,连载,青春校园,14340,6714,54
我一见你就笑,个个攸,连载,都市爱情,14266,115749,37
当渣男成了糟糠之妻后,鹿祁,完结,都市爱情,14244,1108430,61
《朋友请听好》,《朋友请听好》节目组,完结,励志人生,14234,50413,27
你是我的璀璨星光,天街小雨,连载,都市爱情,14174,28815,63
抱抱我嘛,一只小狗会飞天啾,连载,都市爱情,13993,9050,3
摊上一只人参精,北林,连载,,14990,5163,2
重启人终结篇,艾米·亭特拉,完结,外国文学,14961,134168,50
心愿男神：超能遇见你,忘川拾泪,完结,青春校园,14865,474341,72
格雷巴旅馆,柯蒂斯·道金斯,完结,外国文学,14846,98100,28
和最好的自己在一起,女王,完结,励志人生,14740,58920,14
许愿地球仪,克莉丝汀娜·奥森,完结,外国文学,14715,63952,37
哪块小饼干都不如你,夏酷酷,连载,都市爱情,14668,46387,50
太阳花,艾海,连载,都市爱情,14642,110218,0
幸得相遇少年时,紫情,连载,都市爱情,14509,23733,3
我的世界全都是你,乔安,连载,都市甜宠,14506,29612,5
你是我最长情的告白,窗子,完结,都市爱情,15508,239254,69
独宠太子妃,白昼之月ncl,完结,古代言情,15476,301049,15
山海亦可平,壹贰叁,连载,仙侠神话,15382,27686,10
只喜欢你,卿幽,连载,青春校园,15302,2730,7
恋上冰淇淋,珍娜·埃文斯·韦尔奇,完结,外国文学,15296,135301,47
我的哥哥他变成了猫,惊蛰,完结,玄幻言情,15155,108611,5
同学你有毒,太妃糖小姐,连载,校园甜宠,15089,20483,55
平生向北栖,半岁音离,连载,都市爱情,15085,30808,43
影后小娇妻,浅笑安然,完结,娱乐明星,15075,110218,40
那个夏天我不爱你,陶参参,连载,娱乐明星,15044,44023,2
清风如你,鸡蛋羹,连载,都市爱情,16042,23011,21
爱你，渐入佳境,蜜豆司康,连载,都市爱情,16007,53942,0
在你指尖转个圈,青笛,连载,游戏竞技,15856,11452,67
权先生，你老婆是戏精,软软的阮,完结,总裁豪门,15781,627310,25
他不想养一条狗,一只小狗会飞天啾,连载,娱乐明星,15778,52517,3
沙海无门（无删减版）,吴有音,完结,推理破案,15686,105309,13
甜心宇宙,橘子茉莉,连载,都市甜宠,15660,80593,0
我喜欢的是你呀,木尧辛,完结,青春校园,15620,296456,23
此生罗衣骨生花,牛QQ,完结,古代言情,15594,737285,7
亲爱的卡西莫多,莫莫,连载,青春校园,15570,23074,31
最后蜗牛会受伤,白槿余,完结,都市爱情,17657,38582,54
死了都要爱,苏ran,完结,娱乐明星,17575,188776,21
以你为名，不负青春,浅陌幽舞,连载,青春校园,17502,41742,2
娇妻还小，秦少要趁早,现实派的猪,连载,重生异能,17356,144717,68
穿越后我成了戏精,子衿娘,完结,古代言情,17260,138502,73
18岁那年发生了什么,凯瑟琳·格拉斯哥,完结,外国文学,17207,189171,35
萌妃来袭,慕容宁音,完结,时空穿越,17161,138015,76
小才女诱神记,马四两,完结,都市爱情,16895,248104,57
小幸运,打伞的蘑菇,完结,都市爱情,16882,124273,7
影后有个神仙QQ群,柠檬精,完结,娱乐明星,16743,561031,38
流水往似千年,hhe,连载,古代言情,16633,32471,1
时光深处的巡礼,与北寺,连载,都市爱情,16622,151019,23
凤临天下：倾城王妃你别惹,许齐,完结,古代言情,16466,1183876,74
我知道你会来，所以我等,骆瑞生,完结,励志人生,16430,105698,18
左岸烽烟，右耳琴弦,北暄,连载,都市爱情,16337,36764,20
初次见面不是你,未兰,连载,都市爱情,16260,58679,4
在总裁的心上作个妖,苏摩酒,连载,总裁豪门,16189,32321,31
家有萌宝：妈咪要翻天,饭米粒,连载,都市甜宠,16182,511647,40
一眨眼就消失,毛竹,完结,科幻未来,16116,807207,54
海底,允凡,完结,推理破案,16111,328909,14
彩虹下,早安喵,完结,青春校园,18360,121584,66
快穿直播：拯救男神99次,禾禾,完结,时空穿越,18314,792947,14
恰逢雏菊花开时,易彩熙,连载,都市爱情,18202,212282,65
喜欢自己，世界才会喜欢你,宛小诺,完结,励志人生,18118,93346,21
我等不到世界变老,李润,完结,职场白领,18065,184861,30
北云卿,四海升平,完结,古代言情,18049,128799,6
认真你就输了,冉求,完结,都市爱情,18000,323229,38
过境之鸟,克拉丽莎·古纳汪,完结,外国文学,17982,151568,36
艳阳时，他来了,独枝不秀,完结,校园甜宠,17863,85712,77
树妖大人，请上座,画楼西畔,完结,仙侠神话,17705,230350,84
地下城的星光,渚汐,完结,科幻未来,19517,525227,21
南风轻轻起，我好喜欢你,稀饭吃土豆,完结,娱乐明星,19456,137933,95
没什么是谈恋爱不能解决的,唐僧,完结,末世洪荒,19414,426789,10
现在挺好的,夜桦,完结,都市爱情,19361,56744,23
轮回客栈,惊鸿,完结,玄幻言情,19360,99300,30
狐狸恋窟,安蓣,连载,都市爱情,19352,53775,4
你的潮水我的浴缸,三十九度风,连载,都市爱情,19311,49934,0
青梅宴,食勿,完结,古代言情,19152,156252,5
摘心,江梨晚,连载,悬疑推理,19109,27145,15
婚情难逃，顾少宠妻一百分,静静荷塘,完结,婚姻家庭,19085,300195,29
呐！我的上神大人,欢喜,连载,玄幻言情,19027,29222,88
一定要爱你,若影凡华,连载,都市爱情,18792,48284,6
第十三个礼物,乔安妮·胡伊斯特·史密斯,完结,外国文学,18729,104235,38
醒来后，我成了白无常,归程,完结,玄幻言情,18691,753051,65
他的可爱多,陆有匪,完结,校园甜宠,18688,143038,51
一任疏雨似当年,子舆,连载,古代言情,18666,30576,36
林医生，你养我啊,柒嘉言,完结,都市爱情,18466,171292,61
暗黑之湖,莎拉·贝利,完结,外国文学,18434,235272,49
时光录,温冬零,连载,青春校园,18387,55355,1
世上没有怀才不遇这件事,温言,完结,励志人生,18360,98709,6
错位时空,简心归晨,连载,科幻未来,21282,6610,3
我的世界里满满都是你,苏棠辛,连载,都市爱情,21274,9723,34
橙子味的暗恋,茶籽森,连载,都市爱情,21254,37546,17
小巷深处繁花开,七根毛,完结,青春校园,21198,148078,15
时光不许我爱你,时珖,完结,都市爱情,21167,234488,53
你的宠爱犯规了,何仙姑,完结,校园甜宠,21149,233668,137
萌宝攻略，爹地追妻三十六计,筱有趣,完结,都市爱情,20977,412467,6
我和邪王组cp,喵小二,完结,宫斗宅斗,20797,883768,16
江总有疾，娇妻别想跑,灼华,完结,都市爱情,20729,309332,4
有你才是全世界,桃夭,连载,都市爱情,20649,32602,20
苑娘,林姜殊,连载,民国情缘,19970,12191,1
问你可以不可以,狐桃君,完结,玄幻言情,19939,109040,4
重生女神打脸手册,一口小甜饼,完结,古代言情,19935,47599,25
书店女孩,辛西娅·斯旺森,完结,外国文学,19917,184232,74
一步之遥：回首就是你,黄连薄荷软糖,完结,古代言情,19866,134194,10
南风寄浮年,九月安歌,完结,都市爱情,19749,107090,17
春江花月夜：珍藏版,多多,完结,古代言情,19717,729405,26
他来时星光璀璨,扛刀找猫,完结,娱乐明星,19647,191762,24
千衷怒,冯本诺,完结,古代言情,19622,108816,59
荒雪迢迢,鸡蛋羹,连载,玄幻言情,19598,30694,25
允我一世柔情,微染,完结,都市爱情,21626,52352,19
海上西州,唐画眠,完结,,21553,89688,12
他的糖好甜,北栀陌上,完结,青春校园,21539,55869,105
限定人生1.0,白槿余,完结,奇幻空间,21401,55797,66
为你渡星海,鹿杳,连载,青春校园,21378,32141,165
早安，安特助,卿非清,完结,都市爱情,21378,875182,30
不孤独星球,十一珺,完结,青春校园,21371,121398,32
致命守护,寻常,完结,都市爱情,21366,333061,65
余光里满满都是你,千奇,完结,校园甜宠,21316,126608,57
守得云开见月明,茶语澄子,连载,都市爱情,21286,113914,1
影帝狂拽：大佬，面基吧,云染,完结,职场白领,20613,45289,10
奈何时光不可戏,姜佑汐,完结,都市爱情,20498,146588,122
民国十年回忆录,简卿兰,连载,民国情缘,20405,46753,3
如果不曾遇见你,子琳,完结,婚姻家庭,20243,480243,64
从此欢喜都是你,胡萝卜,完结,青春校园,20206,618580,64
校草把我宠上天,微寒,完结,青春校园,20187,788918,43
微笑是最好的天气,山亭夜宴,完结,励志人生,20163,91683,4
我把糖果分给你,纪南辰,完结,校园甜宠,20120,46399,87
命里终有你,南水北调,完结,都市甜宠,20082,116305,101
白骨精狂想曲,宋朝好姑娘,完结,都市爱情,20068,130979,53
蓝桉跑过少年时2,岑桑,完结,青春校园,22239,138450,30
唐人,画一江水,连载,古代言情,22224,113855,5
谢谢你来过,女王,完结,励志人生,22059,76580,29
剩下来的孩子,[美] 莉安侬·纳文,完结,外国文学,22009,146623,45
他们与豹,狐狸组合·尼克狐,完结,玄幻言情,21995,116464,11
浮生六记,沈复,完结,古代言情,21958,102805,35
赐我蓝天的少年,壹落,连载,青春校园,21884,134676,103
我把男二扶正了,碧晓,完结,仙侠神话,21692,94126,151
当命运来敲门,朱迪思·克莱儿·米切尔,完结,外国文学,21686,216284,40
像风吹入深海底,李依咪,连载,都市爱情,21628,9907,231
寂静回声,艾玛·克莱儿·斯维尼,完结,外国文学,22715,192246,61
爆笑互换：爷不是女人？,東米子,完结,古代言情,22589,1152699,81
东州少年闯江湖,钺刀,完结,古代言情,22556,336361,15
她的小耳朵,忍冬,连载,校园甜宠,22547,22224,97
最好的时光刚刚开始,小木头,完结,励志人生,22520,81265,24
情到深处自然甜,珈珈里,完结,青春校园,22468,271029,53
做人不要太过分,奥雷莉·瓦洛涅,完结,外国文学,22424,98966,14
娇妻甜腻腻,咕咕鸡,完结,都市爱情,22409,1617302,11
那时春风过,不得拜旦,连载,宫斗宅斗,22408,24806,18
不曾错过旧时光,H小姐,连载,都市爱情,22330,70735,18
将倾一世,冯乔,完结,古代言情,23443,98876,12
我的机器人男友,早安喵,完结,科幻未来,23379,398430,88
年年见，岁岁念,芸浅,完结,青春校园,23141,220649,37
一世恩宠，天价大佬太难缠,一树夏花,连载,都市爱情,23117,339304,7
名门盛宠：君少太霸道,时微,完结,都市爱情,23035,338047,51
媚杀四方,宋徽呀,完结,仙侠神话,22988,196271,45
盛世以歌,唐未归,完结,古代言情,22886,42705,23
余生漫漫，有你相伴,七杭城,连载,都市爱情,22886,58547,6
亿万独宠，帝少娇妻狂上天,木九九,完结,都市爱情,22842,1163017,13
快穿之攻略那个男主,许齐,完结,奇幻空间,22720,1176453,58
你是我的万千星辰,瑆昀,完结,都市爱情,23955,110979,61
哑妻种田：夫君，有点傻,七八九十,完结,古代言情,23954,1096348,30
我家娘子超凶的,翟木子,完结,种田经商,23926,845810,68
错配,薇蓝,完结,都市爱情,23922,361890,20
情深时恋未晚,言怀,连载,都市爱情,23807,13960,32
一路秦意非浓,叶晓囧,连载,游戏竞技,23695,21323,56
愿你成为自己喜欢的样子,女王,完结,励志人生,23689,90845,16
我们的天空,卢克·艾诺特,完结,外国文学,23661,198765,40
无夏情歌,未阴,完结,都市爱情,23588,105811,13
只有你可与我谈昨天,丽香,完结,青春校园,23480,240591,106
看着你的眼睛,长安若梦,完结,都市爱情,24531,137660,69
我猜你也喜欢我,鹿祁,完结,都市爱情,24501,1156491,120
舞动时光：你好，初见,你很皮,完结,职场白领,24460,612944,62
今天你剁手了吗？,疑思,完结,时空穿越,24365,526011,12
锦衣相思引,橙九,连载,古代言情,24338,517214,22
没有你的晚安，我睡不着,小新,完结,励志人生,24271,100155,12
时间的谎言,（美）玛丽·露易丝·凯利,完结,外国文学,24058,197306,38
他的一百种甜,夏酷酷,完结,都市爱情,24054,34159,68
全糖恋爱,路琟,连载,都市爱情,24020,22311,3
见长安,塔希提,完结,古代言情,23995,604437,12
腹黑男神还我钱,四枂,完结,青春校园,26032,951452,25
让一切随遇而安,叶萱,完结,励志人生,26013,90051,40
小姑奶奶要上天,欢喜,完结,都市爱情,25908,131106,155
你不必活在别人的期待里,小木头,完结,励志人生,25691,127419,28
柠檬有点甜,四夕丸子,连载,都市爱情,25560,64653,5
恋爱真人秀,却铬九,完结,都市爱情,25558,147392,19
晚央,卿晚晚,完结,仙侠神话,25550,1109995,36
许朵许朵喜欢你,西悦,连载,都市爱情,25387,66105,8
一眼就心动,一苇以航,完结,青春校园,25364,132084,78
猫大人，您好,默景Zaky,连载,玄幻言情,25291,236201,17
他来了，请闭眼,丁墨,连载,悬疑推理,25245,36829,247
书途同归,冉求,完结,都市爱情,25218,394153,18
你还在等我吗,折耳,连载,都市爱情,25210,55466,4
超模炼成记,郭雯娜,连载,都市爱情,25123,81743,0
偷记忆的男孩,布莱斯•摩尔,完结,外国文学,25012,98756,83
贝克街的神探大人,鸡脚仙女,完结,都市爱情,24948,162016,28
捡来的王爷不一般,宋宋,完结,古代言情,24859,263025,63
何日君回头,熹微,连载,都市爱情,24775,22494,21
你好，我的魔法先生,芸浅,完结,都市爱情,24737,215201,68
致我们走过的夏日骄阳,清羽,完结,职场白领,24610,306171,85
请你快点对我心动,胭橙,连载,都市爱情,27881,150614,42
何意南风至,鎏公子,完结,都市爱情,27816,441698,28
抢个兽王做夫君,相若,完结,仙侠神话,27774,228277,33
吧唧，亲美人一口,佳美青青,连载,古代言情,27738,209232,107
男神又又又盘我了,荼弗,完结,都市甜宠,27600,223950,58
可爱的他,遇雪有猫,完结,科幻未来,27577,310971,24
清晨到日暮,烟雨星火,完结,青春校园,27473,235625,6
蓝桉跑过少年时1,岑桑,完结,青春校园,27174,181677,48
陆先生，爱妻一枚请签收,吉祥如意,连载,总裁豪门,27086,152119,25
爱你，一辈子,木子园,连载,都市爱情,27018,75218,1
乖一点,彭旭尧,完结,都市爱情,26938,208425,57
陌上花开尽,凡华,完结,都市爱情,26872,131883,29
萌宝助攻，墨少宠妻成瘾,小短褂,完结,都市爱情,26816,484775,13
我一逗你就笑,君慕倾,完结,奇幻空间,26742,223318,144
《初霁》,月下森,连载,都市爱情,26637,201579,20
不负彩虹不负你,依叶,完结,奇幻空间,26591,663917,87
山河满目皆为你,吉祥如意,完结,总裁豪门,26559,50282,73
我家酒店成精了,浅子夕,完结,奇幻空间,26551,138590,10
弃妃归来之王爷休下堂,澪澪柒,完结,古代言情,26537,1212616,11
星星上的人,卡罗琳•帕克丝特,完结,外国文学,26460,163105,72
你好，我的秘密搭档,秦霏,完结,推理破案,26435,31122,63
南北泪·明月光,明月怀寒,完结,古代言情,26401,678133,59
知更鸟女孩4,（美）查克·温迪格,完结,外国文学,26367,158817,95
巢穴,吴伟剑,完结,都市爱情,26279,159487,25
你好，法奈利,杰西卡 诺尔,完结,外国文学,26223,225010,44
宝贝，跟我混娱乐圈吧,九尾,完结,娱乐明星,26177,403755,39
长路漫漫有清风,老王头,完结,古代言情,26161,121394,20
妖王弄丢了大宝贝,雅木,完结,仙侠神话,26149,158543,35
吾爱,花好月园,完结,都市爱情,26110,121314,15
花椒,未由之阙,完结,青春校园,26073,245707,46
我的专属船长,扛刀找猫,完结,都市甜宠,28238,231674,23
太后如此多娇,叶南楠,完结,古代言情,28237,599891,7
爱在公元5000后,炫炫肥,完结,科幻未来,28222,1130117,12
薄荷失香,叶绿,完结,,28173,157715,34
追风不如追你,残年,完结,游戏竞技,28128,171529,144
初恋方法论,正版久南乔,完结,青春校园,28125,273569,127
与君横行,嫣指,完结,古代言情,27990,286834,91
也许爱情曾来过2020,程阳,连载,都市爱情,27959,4972,5
再世为凰，殿下请接招,宋新白,完结,宫斗宅斗,27905,714603,10
重生霸宠，傅少怀里撒个野,十小九,完结,都市爱情,27898,1061437,20
快穿之翻盘攻略,橘子硬糖,完结,奇幻空间,29316,81819,32
喜欢的另一个名字是你,苏秦欢,完结,都市爱情,29259,100001,54
报告王爷：情话王妃已上线,风归,连载,宫斗宅斗,29228,36480,54
逢侠,弃弈,完结,古代言情,28833,285193,55
我们不是真朋友,伍月,连载,都市爱情,28768,74516,1
不负青山不负卿,雨夜一只猫,完结,古代言情,28751,141357,26
快穿逆袭：攻略男主108式,云染,完结,时空穿越,28676,1090022,28
魔君有点涩,卫小词,完结,仙侠神话,28595,413124,43
不与妖魔论鬼怪,风来,完结,仙侠神话,28279,713120,48
他从荆棘中走过,寒云外,完结,玄幻言情,28265,37592,31
小湿雀观察日记,未由之阙,完结,青春校园,30173,140948,30
沉沉的小尾巴,雪梦城,完结,都市爱情,29976,240357,48
撞了南墙更不回头,茄子妖娆,完结,校园甜宠,29830,60319,64
你是我心上的一场涂鸦,毛竹,完结,都市爱情,29738,212390,42
医妃有毒：本王不会治,番茄不炒蛋,完结,古代言情,29730,1141583,9
你在我所爱的那个世界,一颗桂圆,完结,都市爱情,29720,149165,94
猎人笔记,屠格涅夫,完结,外国文学,29713,230943,11
